unique_id,timestamp,value
sample,2021-01-01,120
sample,2021-02-01,128
sample,2021-03-01,132
sample,2021-04-01,129
sample,2021-05-01,140
sample,2021-06-01,145
sample,2021-07-01,150
sample,2021-08-01,148
sample,2021-09-01,152
sample,2021-10-01,160
sample,2021-11-01,166
sample,2021-12-01,172
sample,2022-01-01,175
sample,2022-02-01,182
sample,2022-03-01,188
sample,2022-04-01,186
sample,2022-05-01,194
sample,2022-06-01,201
sample,2022-07-01,208
sample,2022-08-01,206
sample,2022-09-01,214
sample,2022-10-01,220
sample,2022-11-01,228
sample,2022-12-01,235
sample,2023-01-01,238
sample,2023-02-01,244
sample,2023-03-01,251
sample,2023-04-01,249
sample,2023-05-01,258
sample,2023-06-01,266
sample,2023-07-01,272
sample,2023-08-01,270
sample,2023-09-01,279
sample,2023-10-01,286
sample,2023-11-01,294
sample,2023-12-01,301
sample,2024-01-01,305
sample,2024-02-01,312
sample,2024-03-01,319
sample,2024-04-01,317
sample,2024-05-01,326
sample,2024-06-01,334
sample,2024-07-01,341
sample,2024-08-01,339
sample,2024-09-01,348
sample,2024-10-01,356
sample,2024-11-01,365
sample,2024-12-01,372
sample,2025-01-01,377
sample,2025-02-01,383
sample,2025-03-01,391
sample,2025-04-01,388
sample,2025-05-01,398
sample,2025-06-01,407
sample,2025-07-01,415
sample,2025-08-01,412
sample,2025-09-01,422
sample,2025-10-01,431
sample,2025-11-01,440
sample,2025-12-01,448
